website;Offline capabilities;Push notificatios;Add to Home Screen;Background Sync;Navigation Preload;Silent Push;Storage Estimation;Persistent Storage;Web Share;Media Session;Media Capabilities;Device Memory;Getting Installed Related Apps;Payment Request;Credential Management
lotto24.de;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
ijert.org;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
business-for-sale.com.ua;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
midnight.im;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
flightjournal.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
viacargo.com.ar;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
doramiru.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
opencritic.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
kari.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
yolele.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
preactjs.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
strip.chat;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
dancemagazine.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
sexcams7.xxx;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
thebitcoinmethod.io;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
themarker.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
fsnoi.org;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
mgid.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
clackesd.org;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
20minutes.fr;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
bristolpost.co.uk;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
rt.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
mahanmk.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
baytronik.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
ru-geld.de;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
bannerbuzz.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
boligsiden.dk;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
unsplash.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
websitedownloader.io;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
makeuptalk.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
webclassifieds.us;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
monenfant.fr;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
getform.com;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
pvamu.edu;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
makeup.com.ua;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1
