website;Offline Capabilities;Push Notifications;Add to Home Screen;Background Sync;Navigation Preload;Storage Estimation;Persistent Storage;Web Share;Media Session;Media Capabilities;Device Memory;Getting Installed Related Apps;Payment Request;Credential Management;Background Tasks;Background Fetch
ineventos.com;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
openpolis.it;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
koombea.com;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
designmantic.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
my-meego.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
maxizoo.fr;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
onetap.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
qiita.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
santanderx.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
lafermeduweb.net;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
techarmor.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
amoozesh365.ir;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
undergroundmathematics.org;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jomashop.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
cooljuegos.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
mother.ly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
smartholdem.io;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tutorials.de;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruralbr.com.br;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
paytmmoney.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
matshop.pl;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
namhyafoods.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
webkul.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
agro-media.fr;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
designingvibes.com;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
passionation.app;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
99.co;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tavsiyeforumu.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
speednames.asia;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
hulldailymail.co.uk;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
imsociety.org;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
indiansinkuwait.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
manualspdf.ru;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ritetag.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
esopoom.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
playlister.club;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
cafeariel.ir;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
suaranasional.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
