website;performance;accessibility;seo;best-practices
evropa2.cz;0.31;0.93;0.82;0.67
etudes-litteraires.com;0.92;0.88;0.92;0.93
99.co;0.74;0.88;0.92;0.73
esmaelmorais.com.br;0.9;0.9;1;1
macsonuclari.mobi;1;0.91;0.91;0.87
phonroid.ir;0.89;0.85;1;0.93
solar-kart.com;0.96;0.93;0.91;1
nacelle.com;0.69;0.8;0.83;0.8
newauction.com.ua;0.57;0.8;0.83;0.87
store41388150.company.site;0.48;0.93;0.92;0.73
rentsher.com;0.57;0.8;0.91;0.73
my-meego.com;0.95;0.79;1;0.67
nokenny.co;0.59;0.84;0.91;0.87
superatv.com;0.39;0.9;0.67;0.67
qiita.com;0.48;0.78;0.91;0.8
boxden.com;0.62;0.83;0.83;0.73
audioship.io;0.72;0.95;1;0.93
pacogames.com;0.8;0.9;0.92;0.87
telepost.info;1;0.43;0.91;1
mastertest.ir;0.74;0.9;0.92;0.93
tvsamara.ru;0.86;0.76;1;0.8
boredpanda.com;0.42;0.85;0.75;0.8
brooksbrothers.com;0.38;0.87;0.92;0.73
kajtex.com;0.7;0.98;0.91;0.93
writeordie.com;0.76;0.81;0.9;0.8
dpgshop.co.kr;0.47;0.6;0.83;0.67
hulldailymail.co.uk;0.39;0.95;0.91;0.73
netgames.io;0.51;0.74;1;0.73
moviola.com;0.45;0.93;0.92;0.93
atelieraphelion.com;0.95;0.96;1;0.8
idrugstore.jp;0.34;0.78;0.92;0.6
khabarvarzeshi.com;0.46;0.75;0.83;0.73
skimium.fr;0.43;0.75;0.83;0.8
notrefamille.com;0.7;0.98;1;0.73
fetnet.net;0.26;0.72;1;0.67
veryimportantlot.com;0.3;0.96;0.91;0.87
chambre-syndicale-sophrologie.fr;0.62;0.95;0.92;0.93
newdiplomatng.com;0.68;0.93;1;0.87
venus-market.ir;0.86;0.75;0.83;0.87
spikeaerospace.com;0.33;0.88;0.75;1
bhuntr.com;0.12;0.76;1;0.73
sparkinfosys.com;0.69;0.86;0.82;0.6
hosgeldi.com;0.95;0.96;1;0.93
kharidyaar.ir;0.53;0.66;0.92;0.93
brandjoy.jp;0.57;0.81;0.83;0.8
ineventos.com;0.93;0.98;1;0.93
adnsur.com.ar;0.12;0.9;1;0.87
logodesign.net;0.87;0.68;0.83;0.87
getmesa.com;0.5;0.95;0.91;0.87
nawaret.com;0.85;0.76;0.92;1
placedeslibraires.fr;0.67;0.86;0.92;1
swedenabroad.se;1;0.92;0.75;0.8
junyiacademy.org;0.34;0.81;0.82;0.87
dirtwheelsmag.com;0.43;0.96;0.83;0.73
soft98.ir;0.76;0.73;0.92;0.8
bcci.tv;0.76;0.78;0.8;0.93
kupbilet.pl;0.89;0.85;0.8;0.87
webkul.com;0.93;0.98;0.92;1
savevideo.tube;0.93;0.93;0.91;0.8
passionation.app;0.53;0.86;0.91;0.8
epicentrk.ua;0.29;0.78;0.91;0.8
gacetadental.com;0.28;0.78;0.92;0.8
eshraghtrans.com;0.22;0.68;0.91;0.93
sumikai.com;0.98;0.99;1;1
akcaabathaber.com;0.8;0.89;1;0.8
mvsnoticias.com;0.33;0.79;0.83;0.67
typeonegative.net;0.94;0.98;0.91;0.93
santanderx.com;0.85;0.95;0.91;0.93
nottinghampost.com;0.43;0.89;0.82;0.73
groupdiy.com;0.84;0.91;0.91;1
laserlyte.com;0.62;0.96;1;0.8
procurehere.com;0.14;0.96;1;0.8
barrietoday.com;0.72;1;1;0.73
hortomallas.com;0.99;0.89;0.92;0.93
palettable.io;0.85;0.84;0.8;0.87
tumblr.com;0.82;0.96;1;0.93
sarkariresultgov.com;0.95;0.81;0.92;0.8
prenoms.com;0.57;0.98;1;0.73
uatt.com.br;0.4;0.68;0.83;0.63
whitewall.art;0.79;0.62;0.92;0.93
tomtop.com;0.37;0.93;0.83;0.6
buyma.us;0.59;0.61;0.83;0.73
bernardyni.pl;0.56;0.84;0.92;0.8
metareel.com;0.19;0.81;1;0.87
uxcam.com;0.66;0.91;0.92;0.8
vimoviesandtv.in;0.57;0.91;1;0.73
goodhouse.ru;0.65;0.97;1;0.93
stillnessinthestorm.com;0.29;0.96;0.75;0.87
digido.ir;0.4;0.79;0.83;0.8
elpopular.pe;0.93;0.92;1;0.8
modars1.com;0.93;0.84;1;0.87
yad.com;0.94;0.92;0.91;0.67
sffchronicles.com;0.94;0.88;0.92;0.93
rankers.co.nz;0.56;0.63;0.91;0.87
lafermeduweb.net;0.82;0.92;1;0.87
ip-phone-forum.de;0.93;0.92;0.91;0.93
filfox.info;0.62;0.77;0.9;0.93
designingvibes.com;0.98;0.89;0.83;0.87
davosklostersmountains.ch;0.94;0.98;0.92;0.93
seequent.com;0.72;0.91;0.92;0.87
charkhan.com;0.68;0.96;0.83;0.93
propertyturkey.com;0.63;0.58;0.75;0.73
diamondcbd.com;0.21;0.73;0.73;0.67
suaranasional.com;0.47;0.8;0.92;0.6
wikium.net;0.91;0.84;0.92;0.8
filmlondon.org.uk;0.97;0.97;0.91;1
esopoom.com;0.42;0.78;0.83;0.6
openpolis.it;0.87;0.88;0.92;0.93
come-on.de;0.93;0.95;0.92;0.88
imsociety.org;0.7;0.95;1;0.8
tabnakjavan.com;0.52;0.79;1;0.73
names4brands.com;0.76;0.93;0.92;0.73
ebookjapan.jp;0.94;0.94;1;1
mother.ly;0.91;0.8;0.91;0.93
cv.fr;0.95;0.98;1;1
planningthemagic.net;0.92;0.95;0.75;0.8
mintarrow.com;0.78;0.83;1;0.93
lijiababy.com.cn;0.81;0.89;0.91;0.93
answers.com;0.98;0.76;1;0.81
tavsiyeforumu.com;0.84;0.92;1;0.87
fcc-group.eu;0.97;0.83;0.73;0.8
familytravelmagazine.com;0.99;0.98;1;1
cafeariel.ir;0.74;0.74;0.83;0.87
renaultvakilyan.com;0.52;0.7;0.8;0.87
agro-media.fr;0.91;0.88;0.83;0.93
4shared.com;0.42;0.84;0.9;0.73
sundaykiss.com;0.41;0.83;0.92;0.6
leboutique.com;0.4;0.9;0.92;0.87
allfreekidscrafts.com;0.14;0.8;0.83;0.6
redeyerecords.co.uk;1;0.89;0.83;0.8
dot.la;0.97;0.81;0.92;0.87
afteroffers.com;0.38;0.89;0.83;0.87
hotsheet.com;0.7;0.81;0.83;0.67
englishninjas.com;0.87;1;1;0.8
offshorecorptalk.com;0.96;0.96;1;0.87
tryolabs.com;0.96;0.87;0.92;0.93
championat.com;0.19;0.63;0.92;0.8
rxresu.me;0.99;1;0.92;1
uaf.ua;0.51;0.84;0.91;0.8
indiansinkuwait.com;0.74;0.84;0.91;0.87
twitter.com;0.87;0.9;1;0.87
yourbestdigs.com;0.98;0.86;0.75;0.93
just.porn;0.92;0.96;1;1
pcmasters.de;0.99;0.85;0.83;0.93
onetap.com;0.99;0.8;0.91;1
tutorials.de;0.98;1;1;0.93
fittoservegroup.com;0.99;0.98;0.92;0.8
actualno.com;0.55;0.77;0.83;0.6
avcilarhabermerkezi.com;0.59;0.82;0.92;0.73
vietteltelecom.vn;0.14;0.62;0.83;0.47
cginederland.nl;0.88;0.89;0.83;0.8
dm.de;0.39;0.79;0.92;1
hairlossexperiences.com;0.91;0.87;0.91;0.87
laitharar.com;0.58;0.72;0.92;0.73
parentingforbrain.com;0.99;0.97;0.92;0.93
towardsai.net;0.58;0.97;1;0.93
cooljuegos.com;0.74;0.89;1;0.73
yordar.com.au;0.76;0.97;0.92;0.93
e-ticaret.top;0.71;0.98;1;1
libraccio.it;0.29;0.98;0.92;0.73
rastmard.com;0.47;0.89;0.75;0.73
digix.global;0.18;0.77;0.89;0.8
cardladder.com;0.6;0.74;0.8;0.87
samuraipaint.jp;0.96;0.68;0.7;0.93
misanimales.com;0.81;0.96;1;0.87
kozaczek.pl;0.37;0.93;1;0.6
jomashop.com;0.33;0.96;0.83;0.8
chapmanfreeborn.aero;0.62;0.93;1;0.87
bbb.fm;0.84;0.94;1;0.73
matshop.pl;0.73;0.76;0.83;0.67
charliekirk.com;0.25;0.76;0.92;0.67
keepvid.works;0.97;0.92;0.92;0.87
tipyan.com;0.62;0.83;0.83;0.67
grownandflown.com;0.99;0.91;1;1
onebillsoftware.com;0.3;0.76;0.75;1
mastercms.org;0.32;0.89;1;0.8
punktmedyczny24.pl;0.61;0.71;0.92;0.67
interia.pl;0.69;0.66;0.9;0.67
