website;background_color;categories;description;dir;display;iarc_rating_id;icons;lang;name;orientation;prefer_related_applications;protocol_handlers;related_applications;scope;screenshots;short_name;shortcuts;start_url;theme_color
"ineventos.com";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"openpolis.it";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"koombea.com";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"designmantic.com";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1"
"my-meego.com";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"maxizoo.fr";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"onetap.com";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"qiita.com";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"santanderx.com";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"lafermeduweb.net";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"techarmor.com";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"amoozesh365.ir";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"undergroundmathematics.org";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0"
"jomashop.com";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"cooljuegos.com";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"mother.ly";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"smartholdem.io";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"tutorials.de";"1";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"ruralbr.com.br";"1";"0";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"paytmmoney.com";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"matshop.pl";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"namhyafoods.com";"1";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"webkul.com";"1";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"agro-media.fr";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"designingvibes.com";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"passionation.app";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1"
"99.co";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"tavsiyeforumu.com";"1";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"speednames.asia";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"hulldailymail.co.uk";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1"
"imsociety.org";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"indiansinkuwait.com";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"manualspdf.ru";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"ritetag.com";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1"
"esopoom.com";"1";"0";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"1"
"playlister.club";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
