website,size,html,css,js
ineventos.com,2714432,3453,200,50230
openpolis.it,8085299,5570,1147,118571
designmantic.com,47987215,99027,8607,15111
onetap.com,1556362,895,4102,19268
qiita.com,7956859,5811,20673,100976
lafermeduweb.net,5108848,740,10662,43444
amoozesh365.ir,16116043,8373,17657,38187
undergroundmathematics.org,4575621,620,15208,59851
cooljuegos.com,5589069,4958,12587,91890
mother.ly,9796136,9157,12749,163452
ruralbr.com.br,902330,663,13901,6304
namhyafoods.com,10078523,7467,63384,131562
webkul.com,4157080,3621,13394,29410
agro-media.fr,3786155,2100,37856,42601
designingvibes.com,6083848,3704,5461,91102
passionation.app,3118123,1468,21958,31255
99.co,18070619,6934,14765,47546
tavsiyeforumu.com,3268652,6456,200,44050
hulldailymail.co.uk,12872639,4820,13849,235371
imsociety.org,2944033,1923,21509,35442
indiansinkuwait.com,3150305,1367,10395,59278
manualspdf.ru,2961703,8121,200,40197
ritetag.com,14766624,1313,16378,209538
playlister.club,17276680,1081,5726,25847
cafeariel.ir,7305577,5980,55764,25057
suaranasional.com,6143299,1839,6941,95783
techrato.com,4458985,1201,19494,47973
vimoviesandtv.in,6116332,4219,16027,65946
leboutique.com,19549822,12549,53668,174974
skimium.fr,7257409,221,9209,117957
kharidyaar.ir,4072369,2326,25653,34955
netgames.io,1839370,305,14855,40145
davosklostersmountains.ch,5020284,5559,37899,54399
nottinghampost.com,11331248,5642,13867,214700
eshraghtrans.com,7338377,545,13349,72259
macsonuclari.mobi,2412651,53524,200,12759
discoveratlanta.com,6175713,5943,4981,90475
asiabet.org,1933332,1001,21130,23890
audioship.io,3768176,705,2656,68644
groupdiy.com,1700073,1810,200,25173
answers.com,1193057,751,4825,10583
digix.global,15756395,148,793,194332
becker.com,6417666,2350,39370,51415
elpopular.pe,5921056,11232,1100,92131
digido.ir,6445378,5347,35549,52989
typeonegative.net,1956953,3245,200,44169
esmaelmorais.com.br,8063137,3902,18272,127424
logodesign.net,48426213,101273,16447,13454
punjablivenews.in,16469182,7309,65323,145776
telepost.info,36298,552,200,44
idrugstore.jp,3607980,4552,3761,42422
venus-market.ir,5492822,7419,45577,45075
nawaret.com,4815219,3371,480,58927
sffchronicles.com,1574026,2913,200,17381
hairlossexperiences.com,2077182,2654,242,17669
footshop.eu,9437814,6805,4263,133043
tvsamara.ru,7719266,2787,15439,70918
pacogames.com,2490847,1884,7097,41643
laserlyte.com,3576736,1554,3691,78290
etudes-litteraires.com,2738054,633,6695,50519
mybroadband.co.za,5311629,19366,7043,67611
propertyturkey.com,6334490,3123,25621,53207
getmesa.com,11437664,1456,29355,174719
khabarvarzeshi.com,5173040,5793,16955,63422
vietteltelecom.vn,11562076,1764,136152,94858
solar-kart.com,2829028,3645,200,42285
barrietoday.com,3462315,2315,6375,63440
store41388150.company.site,9205451,14084,55449,136286
onebillsoftware.com,6686836,4564,60534,57964
bcci.tv,4412893,6316,16449,17930
rxresu.me,10749593,6543,217,217504
notrefamille.com,2923551,1161,5389,46629
punktmedyczny24.pl,6065306,4357,14330,86507
yad.com,8156978,2,40723,17000
englishninjas.com,3672467,1529,6370,55927
brooksbrothers.com,15263120,13964,51667,208747
conicle.com,11684902,1481,34882,87934
wish.com,14979421,16984,1495,232063
4shared.com,3027835,1375,16035,41951
brandjoy.jp,9812098,927,12943,127346
qoo10.sg,5205702,4618,7902,38763
makaan.com,3911804,5863,7952,59818
yourbestdigs.com,2851509,3047,12797,35902
lexus.ca,5452213,3852,9424,53429
uatt.com.br,9792405,4792,36534,144258
prenoms.com,2743261,1201,5211,47123
emojio.ru,4154755,914,13032,72708
galichu.com,9162830,1950,32713,71614
atelieraphelion.com,1411220,1695,200,17221
uaf.ua,6482160,2799,20870,23305
lijiababy.com.cn,7698837,86,13479,104011
nokenny.co,2034399,1297,6128,17170
amanjacademy.com,5412878,1689,57639,48711
junyiacademy.org,4833255,2002,23313,69275
charkhan.com,2677713,2639,61950,6871
boxden.com,6545414,7137,2374,82982
veryimportantlot.com,10657732,3456,9291,116279
afteroffers.com,5126482,5599,13557,69000
metareel.com,20107967,29721,28570,119735
fetnet.net,12762483,23715,54137,140760
writeordie.com,4592797,16,346,83094
arcelik.com.tr,10083688,5277,25138,96744
bernardyni.pl,7647611,2368,52066,60865
fcc-group.eu,2009840,1280,11093,11416
dot.la,1064592,6435,6851,5684
mastertest.ir,5655212,1751,49982,52327
sarkariresultgov.com,1178363,1303,9022,12853
pijnacker-nootdorp.nl,4583407,2715,24541,29077
whitewall.art,16288869,81586,200,46162
actualno.com,6064272,4032,14125,95100
buyma.us,4391464,4343,13372,47593
interia.pl,4072188,4072,9107,61475
chambre-syndicale-sophrologie.fr,5448061,2217,47478,61414
adnsur.com.ar,13484490,34023,24885,192198
chapmanfreeborn.aero,5906274,8452,12100,76936
ip-phone-forum.de,1890306,2050,18088,19664
tomtop.com,10269894,6371,13992,111039
renaultvakilyan.com,8701848,33643,8949,76838
tryolabs.com,6738306,3803,348,65986
