website;domComplexity;cssComplexity;badJavascript;pageWeight;requests
safex.az;95;75;97;100;64
lineru.com;95;99;100;100;77
themelooks.com;83;-22;99;100;78
nanansem.com;73;-22;95;100;67
livecounts.io;100;100;75;100;84
seatcupra.net;85;-36;100;100;92
wegoreizen.nl;93;68;87;100;69
spectrapremium.com;100;100;100;100;90
pudelek.pl;97;99;87;100;99
sinoptik.pl;83;96;-133;100;69
livechat.gas.by;98;98;98;100;100
shopping24.de;85;97;100;100;99
atb.su;95;94;99;100;76
vivthomas.com;90;93;98;100;80
sarkarinaukriexams.com;97;98;98;100;93
tvshow.com.uy;100;-78;99;100;79
thepositivemom.com;100;85;100;100;93
adss.com;70;66;74;100;74
inp.edu.eg;87;44;100;100;70
modrykonik.sk;97;95;87;100;57
cheapnikejerseysnfl.com;97;97;88;100;96
gms-bc.de;95;6;98;100;76
mutualofomaha.com;98;89;99;100;82
odds.ru;45;90;100;100;17
techarmor.com;90;59;96;100;70
inside-it.ch;92;0;74;100;67
www24.eplsite.football;-49;55;60;100;66
vitalthrills.com;100;82;100;100;94
ecosa.com.au;97;-388;94;100;38
sothebysrealty.com;79;44;99;100;83
perfectxml.com;97;99;100;100;94
hampshirelive.news;94;68;63;100;76
en.smashpro.tips;98;73;100;100;100
posthaus.com.br;89;94;99;100;67
absolventa.de;100;45;99;100;99
companyrescue.co.uk;85;96;75;100;91
discover-the-world.com;99;52;87;100;64
frisco.pl;90;37;99;100;91
unixboard.de;76;44;100;100;100
hanselminutes.com;100;94;100;100;78
arasaac.org;100;100;100;100;95
assetworks.com;98;-11;85;100;78
cutlerhomes.com;83;86;82;100;89
skinnyski.com;100;55;99;100;87
9ensonbahis.com;54;37;99;100;81
pacogames.com;19;96;74;100;75
crehana.com;83;100;99;100;91
sunnah.one;100;99;100;100;99
webyooz.com;100;-179;88;100;94
camwhorestv.info;22;18;99;100;99
158.69.0.201;86;80;100;100;64
onlinejobs.lk;94;20;72;100;71
turbopop.com.br;100;-48;88;100;100
pushwoosh.com;98;96;100;100;58
hobby-machinist.com;51;50;85;100;-47
noguiltlife.com;100;82;88;100;94
cruisin.me;94;60;98;100;73
angi.com;90;81;99;100;75
oficinadepsicologia.com;60;-52;100;100;81
hotnewhiphop.com;60;10;59;100;47
zamplia.com;100;-24;96;100;99
oceaninsight.com;98;49;99;100;71
parlement-ouvert.fr;100;95;100;100;100
weritas.at;98;91;100;100;82
gammatraffic.com;97;54;100;100;100
bien.hu;83;18;96;100;81
220-volt.ru;-86;31;85;100;79
vita4you.gr;41;-31;88;100;89
e-has.com;98;98;-94;100;39
writingpapersucks.com;61;100;100;100;99
eagleeye.com;68;88;98;100;34
teleprompter-online.com;94;99;-3;100;90
thebridgechronicle.com;92;93;100;100;100
canonrumors.com;46;-158;74;100;9
acko.com;98;100;100;100;88
cherryplayer.com;92;-7;97;100;96
michaelpage.com;95;100;98;100;71
