;website;size;html;css;js
0;bannerbuzz.com;12126918;18975;1005;149493
1;makeup.com.ua;5422061;2943;10635;49075
2;eventbrite.co.uk;13383134;2147;73200;210150
3;fcbarcelona.com;10881083;7981;65224;157197
4;reebok.pe;10917581;727;27013;182542
5;kiehls.co.uk;5072249;2025;20977;57763
6;pinterest.com;9719030;12381;10165;12351
7;christianmedias.com;2479687;4215;27542;28215
8;troc-velo.com;3375992;450;6499;36763
9;fressnapf.de;4667991;1;200;72363
10;michaelpage.com;8724937;2061;43599;87502
11;ausmed.com;7628661;1464;22687;78951
12;aviasales.ru;19071994;11888;35930;315285
13;webwave.me;6001304;12;47890;101839
14;dmv.org;7545488;483;9505;147377
15;fashiola.com;2255771;1094;200;33710
16;mini.co.uk;12002158;4381;139257;110542
17;logaster.com.es;906912;2;14777;9349
18;adidas.co.id;8217428;22;1495;162534
19;chrono24.com;4099542;28371;200;50593
20;drmax.cz;5505987;482;20410;86800
21;pizzahut.com.au;10580944;3800;14494;152883
22;gala.de;5748298;5546;8989;84983
23;ing.de;4408982;3787;14994;63201
24;trabajos.com;4884666;485;6447;57483
25;scandichotels.com;8370920;2328;36020;114554
26;eventim.ro;7527295;19;18180;117318
27;ebay.com;7652423;10392;17183;88666
28;wamiz.co.uk;3313410;2921;8616;46979
29;budgetair.co.uk;11610271;4118;74323;178827
30;skinceuticals.com;7422259;1656;21558;95230
31;photowall.com;11417072;1109;17321;151754
32;properati.com.ar;6801543;4905;20621;94766
33;gamasexual.ru;3348178;1998;1621;43182
34;habitissimo.es;8505828;53;43689;138485
35;vayama.com;10646529;2161;74385;169978
36;kelkoo.fr;3170319;1;200;57361
37;eobuv.cz;4761433;1851;11670;60272
38;footshop.eu;9437814;4406;6612;136871
39;emp.de;5486292;937;13784;92456
40;kitabisa.com;9758497;1341;1179;113431
41;belvilla.nl;8106969;579;74215;91590
42;modrykonik.sk;8338418;7208;410;134369
43;emp-online.com;4067963;200;13784;64609
44;inmak.net;2187572;2738;10246;25650
45;renault.fr;5294891;1272;7480;74967
46;rosebikes.de;9781549;8136;28590;79334
47;laroche-posay.co.uk;6264886;1300;21000;61844
48;pilulka.cz;6848014;5505;20551;69918
49;clasf.com.br;925834;1;8766;11612
50;dnevnik.si;9935348;1102;21823;124548
51;dacia.ro;4369750;496;7763;70092
52;cheaptickets.nl;11522752;4494;73892;172927
53;dm.de;8813672;664;343;146009
54;jobijoba.de;2530168;1454;11717;35284
55;pagepersonnel.es;6072262;1684;48188;56867
56;livenation.co.uk;7142013;1466;6975;163065
57;conrad.com;8545354;3143;20991;141265
58;netbet.de;10820160;1208;59126;105786
59;ikea.gr;12136357;2505;26676;174240
60;starvegas.ch;8961850;2260;4917;89373
61;emilfrey.ch;11510233;3470;51872;140759
62;autoscout24.de;6400068;3383;18081;99128
63;voyage-prive.es;7084007;92;12171;92405
64;tickets.ua;7370008;1056;15712;114715
65;westwingnow.de;8493082;8865;200;97588
66;edreams.com;28746337;284;105427;471425
67;casalgrandepadana.com;3465823;2;21340;39844
68;paysera.com;4471151;1852;12046;80366
69;catalunyapress.es;6135348;4284;12237;35749
70;rimi.lv;4143350;7836;37694;31427
71;clarins.co.uk;9077450;8;45953;111191
72;3djake.com;1545626;1;22314;14090
73;fashionunited.uk;3344066;1994;429;52964
74;alibaba.ir;5977471;1980;21780;85373
75;eurobuch.com;7167322;1767;24823;154107
76;qoo10.sg;5205702;4618;7902;38223
77;parents.fr;4741055;2936;7988;97460
78;bertina.us;2978045;2;19976;26346
79;vesti.ru;12360878;2445;4930;124514
80;ok.ru;5336231;641;59503;66247
81;windguru.cz;6993793;258;8047;138622
82;zankyou.es;2264629;3136;19264;20580
83;toryburch.com;6111589;1679;18810;96655
84;beeg.com;5208365;1412;11769;57829
85;meteored.mx;5263324;3975;14874;84952
86;salesmanago.pl;7834439;3839;13446;58028
87;speedypaper.com;6457882;5944;9473;118236
88;tempo.pt;4701228;6723;15928;32021
89;redtube.com;1940581;3;7180;24975
90;shang-yu.com.tw;3101862;383;6565;5578
91;kraemer.de;11804353;4426;31369;74820
92;chronext.com;17250340;1440;17165;220500
93;supercheapauto.com.au;15347965;598;55565;95344
94;dkms.de;17526632;27302;200;200967
95;unicef.it;5090498;19025;487;60151
96;opodo.de;27473854;307;104736;440358
97;wego.co.in;9906133;87;9251;143559
