website;size;html;css;js
epicgames.com;22868564;7661;6455;264878
budetezdorovy.ru;2706450;1;44148;23833
buddhapowerstore.com;21915273;4199;46165;392036
buckget.com;1262319;361;332;15940
buckangel.com;9501002;2275;53234;107549
bryanlrobinson.com;419788;824;305;8600
brtnetwork.id;7426956;3709;59425;93267
bringerparcel.com;6101079;2307;998;72692
brimmers.ru;3399814;140;38406;31096
brave-mo.com;11164369;6598;200;195512
braun-russia.ru;7138060;4254;37892;59352
branddigitizer.site;9605483;27282;14291;84980
brainpowerboy.com;1070555;2015;7566;7530
bragoddess.com;16004818;1;536;209672
bphgbi.org;9519806;1192;74537;122175
web.app;5102618;47;567;90541
born2be.ua;5872752;1191;12705;53044
booksy.com;5552091;2237;4948;87879
booksandbao.com;1181534;3892;5408;4156
bookmygarage.com;1957688;1482;7341;25164
bonnieet.com;9541952;28856;1416;115543
bone.ua;5258773;15507;16115;26683
bomond.com.ua;15122518;166;34486;62913
bomdolls.com;3704798;753;9663;48715
bollywoodxxx.pro;1203842;1138;918;2
bollywoodporn.pro;2497706;1117;918;1
bojoko.com;1405420;3086;9483;14211
board.if.ua;507959;477;950;5659
bnbies.com;5159948;458;31005;56123
voicetv.tv;3589177;1;20857;45011
bludshop.com;6955400;2;444;96991
bludiode.com;7140461;3285;40505;85420
ecwid.com;18086870;14775;74861;301523
bloggingdude.com;3176507;2442;72705;13509
blog200porcento.com;5234448;147;3648;70040
jeremylikness.com;1979538;260;12590;5232
blingvine.com;4371183;463;13737;67309
blessedupdaily.com;10344978;3774;17429;142558
blanjaterus.com;6749904;1604;200;155437
blacksea.net.ua;5892116;3207;12713;42961
blackcarburning.com;2052331;16;200;36786
bizimtv.com.tr;2831891;494;11789;26686
bisniswisata.co.id;3151863;484;0;46117
birkinstock.shoes;9266966;742;200;36818
binomo-webtrade.com;5198872;10;1401;87938
binomoid.org;5206139;280;1401;87948
bingopetshop.ir;8756220;2253;87218;52960
bimeon.ru;1695593;2;2519;29651
bimehmarketing.com;6139154;1;54887;56210
biletyplus.ua;3788541;2415;21621;36441
bikoplus.com;8077989;2908;30623;52015
bigfun.vip;7942127;862;12573;98462
big-book-city.ru;2803331;2315;1896;34222
bidopin.com;9497227;9869;69944;79002
bi.group;25127360;17283;92441;232105
beyondthestreets.com;12572467;5;51101;110788
beyondanimal.com;12532252;325;46724;200124
betterexam.net;4239364;4103;66545;38339
betfan.pl;24953335;647;87629;358084
betballers.com;58246495;99250;29011;183955
bestproductsindian.com;1278033;1422;17209;10783
benh.vn;6354191;4;12001;134276
beesfordevelopment.org;8052407;1799;56628;57590
beerhead-bar.ru;2085352;888;8348;31406
beeg.global;5736465;2751;3475;17504
bedunim.ir;6099460;1451;36413;25273
beautyandthebeets.com;1670076;2137;5678;5819
beatkids.ir;3649200;8;28545;48739
bcaa.ua;2553723;477;16509;25901
bbooster.online;10945618;3503;66341;129400
bbcsamachar.in;3057384;2428;15475;18242
baziato.com;6838384;1244;64704;46457
baybahis.com;3153420;1778;39978;17723
baudasdicas.com.br;3654110;2499;28062;23099
batteries.com;3504939;2685;6672;62228
batch.id;5258473;1004;13463;77364
basslinepromotions.com;2296797;4711;200;31823
bartlettparks.org;2889237;1345;7933;25098
barrreport.com;7097274;5092;18511;20689
baoboard.com;9569147;36379;19084;83412
band-vans.net;9246215;2837;115406;89039
balkanforum.info;1903187;3840;298;15668
bakti.id;2440911;2251;914;32640
bahhador.com;6204636;1954;86914;59066
bahasaweb.com;1595888;1387;17499;15079
baguiocityguide.com;9977260;3840;75426;68190
backlightblog.com;3651743;37311;200;27631
azersex.com;753544;130;814;5819
azantime.app;523668;369;2534;2091
avv.de;4014912;1491;37620;25925
avtoekat.ru;1901252;849;8342;28176
avidols.pro;2970226;1485;992;7510
avalon.fun;6725605;87;5322;76736
autotuning.expert;2475824;442;320;34761
uol.com.br;4458974;2029;14548;66212
automarket.pl;6347389;1180;14499;108827
autogeek.com.ua;3284693;2593;22110;32633
aussiehomebrewer.com;2187219;2604;200;25610
audioship.io;3768176;689;2656;68878
aty800.com;1364524;703;16061;15660
atlasofthefuture.org;7586062;1625;42146;52666
atheycreek.com;18073855;1889;29653;139702
ateneaprofesional.com;4733796;1686;5425;13262
atelieraphelion.com;1411220;1727;200;17200
asusfans.ru;1227618;158;8742;2871
astromix.net;5507837;1934;26997;59415
asrtabriz.com;8272502;2703;30158;50106
ask4sam.net;10902130;1236;101699;55802
asicbots.com;18234613;619;108990;221895
asian-woman.org;1275114;1;272;20979
