;website;domComplexity;cssComplexity;badJavascript;pageWeight;requests
0;fantasticmetropolis.com;100;100;100;100;100
1;writeordie.com;100;100;89;100;100
2;fjale.al;100;100;100;100;100
3;every-layout.dev;100;100;100;100;87
4;craftsyhacks.com;98;100;100;99;100
5;isitchristmas.com;100;100;98;100;100
6;voxviva.app;100;100;100;100;100
7;erikrunyon.com;100;100;100;100;100
8;elvery.net;100;100;100;99;100
9;marketspace.company;85;100;89;-44;89
10;tres.ir;100;100;100;100;100
11;digix.global;100;100;100;100;100
12;alkompis.se;83;100;100;75;100
13;bryanlrobinson.com;98;100;100;100;98
14;docker-curriculum.com;98;100;100;100;100
15;dickflash.com;87;42;100;100;87
16;modmakeup.ru;83;25;63;100;77
17;txlandlaw.com;95;100;100;100;100
18;havaianas.com.br;81;28;74;100;65
19;aussiehomebrewer.com;90;38;98;100;66
20;dailyyonder.com;80;96;100;100;79
21;cpu4u.com;85;99;100;100;100
22;mxvice.com;94;-15;75;100;78
23;thegardeningcook.com;98;79;100;100;91
24;trueid.id;98;100;100;100;96
25;mojaver.com;90;99;100;100;100
26;laitharar.com;97;100;98;-184;48
27;paidviewpoint.com;100;78;99;100;99
28;unitedstatescredit.com;100;72;97;100;84
29;qna.center;99;86;86;100;81
30;drewramseymd.com;93;94;100;100;100
31;punditarena.com;85;99;97;100;80
32;agro.ru;100;90;100;100;96
33;follow.it;100;96;100;100;100
34;espanadiario.net;45;97;99;100;96
35;move.nl;100;60;100;100;100
36;tribunadejundiai.com.br;45;29;86;100;79
37;watcho.com;100;27;73;100;80
38;autosdeprimera.com;90;32;98;100;79
39;timeout.co.il;46;57;86;100;79
40;karvitt.com;47;100;99;100;100
41;fearleeving.com;83;100;100;100;100
42;lunato.net;97;69;100;100;87
43;iranzayeat.com;99;66;99;100;85
44;freecampsites.net;98;94;94;100;95
45;tabtaraneh.net;100;71;99;100;93
46;traveltriangle.com;33;82;100;100;95
47;bikoplus.com;97;68;100;100;64
48;abeconnect.com;100;-7;98;100;100
49;rns.online;98;92;98;100;48
50;blackberrybabe.com;98;94;99;100;85
51;dvago.pk;63;31;39;100;73
52;popularmilitary.com;83;53;59;100;51
53;msngames.online;50;95;100;100;86
54;escaracas.com;99;87;86;100;59
55;coincitadel.net;75;100;100;100;100
56;creebhills.com;60;-55;97;100;84
57;kaigaifxbonus.com;85;31;100;100;89
58;fetedelanature.com;98;48;100;100;86
59;tictactec.ir;93;33;100;100;100
60;trials.report;100;97;97;100;97
61;fxf1.com;100;69;100;100;94
62;crocotube.com;93;93;-182;100;47
63;qtopa.com;100;86;100;100;100
64;ket-noi.com;81;49;86;100;84
65;trodomains.uk;75;99;100;100;96
66;agora-web.jp;55;9;25;100;47
67;fatgirlflow.com;98;82;88;100;82
68;islandwildseafoods.com;95;100;100;100;95
69;cashforscrapcarsautoremovallangley.ca;75;99;100;100;98
70;wmeritum.pl;81;-46;100;100;99
71;ed.team;86;7;98;100;49
72;poeplanner.com;71;57;99;100;100
73;branddigitizer.site;97;76;98;100;98
74;rufflesandrainboots.com;98;86;87;100;81
75;bubbleshooter.net;94;97;15;100;19
76;cinemodern.ir;100;39;86;100;80
77;haberzamani.net;94;99;86;100;79
78;mopesoft.ru;100;47;99;100;88
79;thepressproject.gr;92;29;99;100;88
