,website,domComplexity,cssComplexity,badJavascript,pageWeight,requests
0,safex.az,100,100,100,99,100
2,seva.id,100,100,89,100,100
3,botox.com,100,100,100,100,99
14,justtherecipe.app,100,100,100,100,97
15,btk.gov.tr,100,100,100,100,100
16,fantasticmetropolis.com,100,100,100,100,100
19,jomashop.com,100,100,89,100,100
22,green-connector.com,92,100,100,76,93
25,mhsolution.vn,100,100,88,100,100
26,hulldailymail.co.uk,100,100,100,100,100
27,fo.am,100,100,100,100,97
28,qgr.ph,100,100,100,100,100
30,writeordie.com,100,100,89,100,100
32,fjale.al,100,100,100,100,100
33,every-layout.dev,100,100,100,100,87
34,kservicing.com,100,100,100,100,100
35,samuraipaint.jp,100,100,100,100,100
39,smartholdem.io,100,100,100,30,100
40,filfox.info,93,100,100,99,94
44,macsonuclari.mobi,97,100,89,99,100
46,craftsyhacks.com,98,100,100,99,100
49,kutahyacicekci.com,100,100,100,99,97
50,refacil.co,92,100,100,100,87
51,pwabuilder.com,100,100,100,100,100
52,isitchristmas.com,100,100,98,100,100
53,voxviva.app,100,100,100,100,100
56,erikrunyon.com,100,100,100,100,100
57,photoshoptutorials.ws,100,100,100,100,100
58,a-coding-project.de,100,100,100,100,100
60,kajtex.com,100,100,100,100,86
66,mankier.com,100,100,100,100,100
67,loja2.com.br,100,100,100,100,89
68,elvery.net,100,100,100,99,100
69,telepost.info,97,100,100,100,100
77,marketspace.company,85,100,89,-44,89
84,tres.ir,100,100,100,100,100
86,answers.com,87,100,89,97,98
88,superatv.com,100,100,100,100,100
89,nottinghampost.com,100,100,100,100,100
90,sitarafoods.com,100,100,89,100,100
92,digix.global,100,100,100,100,100
94,alkompis.se,83,100,100,75,100
96,bryanlrobinson.com,98,100,100,100,98
99,isc.ro,100,100,100,100,100
102,jibberjobber.com,100,100,100,100,93
109,cruxforums.com,100,100,100,100,100
111,docker-curriculum.com,98,100,100,100,100
120,dickflash.com,87,42,100,100,87
121,lineru.com,97,100,100,100,72
124,modmakeup.ru,83,25,63,100,77
125,mystino.com,100,86,99,100,80
131,livecounts.io,85,100,-189,100,73
132,txlandlaw.com,95,100,100,100,100
133,seatcupra.net,88,-36,100,100,88
134,havaianas.com.br,81,28,74,100,65
135,aussiehomebrewer.com,90,38,98,100,66
138,webcafe.bg,27,63,99,100,40
139,spectrapremium.com,100,100,100,100,90
140,pudelek.pl,97,100,87,100,99
146,shopping24.de,97,99,100,100,100
149,sarkarinaukriexams.com,82,86,72,100,81
150,tvshow.com.uy,76,-82,96,100,72
153,sindulanthaya.com,80,20,59,100,79
155,thepositivemom.com,100,85,100,100,92
157,adss.com,91,66,74,100,73
160,dailyyonder.com,80,96,100,100,79
161,cpu4u.com,85,99,100,100,100
162,mynuviet.net,76,52,100,100,66
163,modrykonik.sk,98,96,88,100,59
165,cheapnikejerseysnfl.com,93,97,100,100,91
168,mxvice.com,94,-15,75,100,78
169,thegardeningcook.com,98,79,100,100,91
170,pgbank.com.vn,95,69,88,100,84
171,trueid.id,98,100,100,100,96
173,mojaver.com,90,99,100,100,100
174,techarmor.com,83,100,100,100,89
176,inside-it.ch,91,1,73,100,67
177,laitharar.com,97,100,98,-184,48
178,ecosa.com.au,99,-333,94,100,73
179,sothebysrealty.com,79,61,99,100,82
181,perfectxml.com,98,100,100,100,94
183,hampshirelive.news,88,85,63,100,79
185,paidviewpoint.com,100,78,99,100,99
186,posthaus.com.br,81,94,51,100,65
187,absolventa.de,100,38,99,100,99
190,unitedstatescredit.com,100,72,97,100,84
191,qna.center,99,86,86,100,81
192,drewramseymd.com,93,94,100,100,100
193,efy.in,100,-1,98,100,87
194,punditarena.com,85,99,97,100,80
195,discover-the-world.com,84,100,86,-57,41
196,printfeed.org,92,26,88,100,69
197,frisco.pl,85,29,99,100,72
198,themarker.com,100,100,88,100,60
199,agro.ru,100,90,100,100,96
200,unixboard.de,76,45,100,100,88
202,hanselminutes.com,100,94,99,100,80
203,assetworks.com,98,-12,85,100,93
205,skinnyski.com,100,54,99,100,93
206,follow.it,100,96,100,100,100
208,9ensonbahis.com,92,42,99,100,94
209,pacogames.com,97,100,80,100,81
210,espanadiario.net,45,97,99,100,96
215,move.nl,100,60,100,100,100
216,tribunadejundiai.com.br,45,29,86,100,79
220,watcho.com,100,27,73,100,80
221,pushwoosh.com,98,97,100,100,49
223,autosdeprimera.com,90,32,98,100,79
225,lionsshare.io,100,100,100,100,100
227,timeout.co.il,46,57,86,100,79
230,el.kz,78,18,98,100,80
231,cruisin.me,99,63,87,100,82
233,oficinadepsicologia.com,60,-39,84,100,72
234,hotnewhiphop.com,50,11,84,100,29
236,bestproxy.net,100,96,100,100,100
237,rtl-theme.com,90,35,99,100,10
241,oceaninsight.com,100,54,-1,100,89
242,karvitt.com,47,100,99,100,100
244,fearleeving.com,83,100,100,100,100
246,gammatraffic.com,97,54,100,100,100
250,bien.hu,83,18,96,100,87
251,lunato.net,97,69,100,100,87
255,vita4you.gr,47,-31,100,100,90
256,techobserver.in,20,-143,95,100,19
257,sahamyab.com,83,93,96,100,79
258,iranzayeat.com,99,66,99,100,85
261,eagleeye.com,72,88,98,100,34
262,teleprompter-online.com,99,99,99,100,100
264,canonrumors.com,55,-150,73,100,34
265,acko.com,98,100,100,100,88
266,freecampsites.net,98,94,94,100,95
268,tabtaraneh.net,100,71,99,100,93
273,michaelpage.com,93,100,86,100,60
275,hive.io,98,55,100,100,87
276,jako-o.com,63,51,99,100,77
278,tol.org,98,40,99,100,81
280,megatone.net,83,28,82,100,74
281,traveltriangle.com,33,82,100,100,95
282,parc-ballons-vosges.fr,97,19,-586,100,100
284,bikoplus.com,97,68,100,100,64
285,filamentgroup.com,100,97,100,100,96
287,abeconnect.com,100,-7,98,100,100
288,goodhouse.ru,83,100,89,74,33
292,rns.online,98,92,98,100,48
293,itweb.co.za,88,62,88,100,96
294,andreani.com,93,54,98,100,-44
297,blackberrybabe.com,98,94,99,100,85
301,sovajewels.com,84,49,99,100,46
305,cecil.de,100,92,100,100,100
306,sunshine-live.de,71,100,100,100,72
307,dvago.pk,63,31,39,100,73
311,unitedconsumers.com,92,100,100,100,80
313,ukaps.org,74,46,100,100,86
315,popularmilitary.com,83,53,59,100,51
317,longdo.com,100,99,99,100,34
318,listentoyoutube.cc,100,99,100,100,100
320,filmeserialegratis.org,87,72,100,100,80
322,xnxx-pornos.com,83,100,98,100,91
323,skarbnicanarodowa.pl,93,30,100,100,87
325,newser.com,89,95,43,100,25
326,msngames.online,50,95,100,100,86
327,capemaymac.org,87,-43,96,100,77
332,escaracas.com,99,87,86,100,59
333,coincitadel.net,75,100,100,100,100
334,cibertest.com,96,67,75,100,97
335,manhattanreefs.com,18,13,97,100,-8
336,creebhills.com,60,-55,97,100,84
339,organizedmom.net,98,83,88,100,80
340,dayonline.ru,83,100,82,-170,4
342,englishcentral.com,82,84,97,100,98
345,dirt.com,76,100,98,100,85
346,cheki.co.ke,92,99,74,100,67
347,kaigaifxbonus.com,85,31,100,100,89
348,shopko.com,98,39,95,100,77
349,fetedelanature.com,98,48,100,100,86
350,solutelabs.com,100,85,-29,100,100
351,tictactec.ir,93,33,100,100,100
352,mydnet.net,100,9,99,100,80
355,istanbulses.com,100,78,100,100,100
356,akweb.de,100,100,100,100,95
357,trials.report,100,97,97,100,97
359,fxf1.com,100,69,100,100,94
362,audi-sport.net,18,51,86,100,71
363,forestparkreview.com,83,96,87,100,86
365,klarmobil.de,98,49,100,100,91
